"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 27-Feb-2025","1W AGO 
 21-Feb-2025","1M AGO 
 29-Jan-2025","1Y AGO 
 29-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 29-Feb-2024","30 D % CHNG 
 29-Jan-2025"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","11,710.55","-2.45","11,936.45","11,946.05","11,687.20","-","12,005.25","12,005.25","12,307.15","12,724.05","-","15,154.10","8,010.10","-","-7.97"
"NIFTY INDIA DEFENCE","5,131.80","-2.50","5,191.75","5,235.35","5,074.35","-","5,263.35","5,263.35","5,349.00","6,003.40","4,448.97","8,302.05","3,374.95","15.35","-14.52"
"NIFTY INDIA TOURISM","7,879.10","-1.92","7,979.50","7,985.30","7,813.95","-","8,033.00","8,033.00","8,279.20","8,346.80","-","9,315.80","6,058.05","-","-5.60"
"NIFTY CAPITAL MARKETS","3,091.05","-4.12","3,189.45","3,208.05","3,063.05","-","3,223.75","3,223.75","3,413.35","3,454.85","-","4,265.80","2,009.60","-","-10.53"
"NIFTY EV & NEW AGE AUTOMOTIVE","2,551.75","-3.00","2,610.30","2,612.05","2,547.55","-","2,630.70","2,630.70","2,699.95","2,810.10","2,623.53","-","-","-2.74","-9.19"
"NIFTY INDIA NEW AGE CONSUMPTION","9,932.70","-2.72","10,133.50","10,136.00","9,897.80","-","10,210.60","10,210.60","10,397.95","10,789.60","9,316.09","-","-","6.62","-7.94"
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","31,158.55","-2.63","31,802.25","31,819.80","31,100.75","-","31,999.75","31,999.75","32,684.20","34,000.55","34,446.15","-","-","-9.54","-8.36"
"NIFTY MOBILITY","17,413.00","-2.87","17,818.70","17,819.85","17,375.70","-","17,928.30","17,928.30","18,184.45","18,700.95","17,682.04","-","-","-1.52","-6.89"
"NIFTY100 ENHANCED ESG","4,345.75","-2.44","4,428.95","4,429.65","4,340.40","-","4,454.65","4,454.65","4,519.45","4,576.20","4,356.81","-","-","-0.25","-5.04"
"NIFTY CORE HOUSING","13,773.75","-1.49","13,921.50","13,948.70","13,680.90","-","13,982.55","13,982.55","14,579.40","15,082.50","14,480.06","17,961.70","13,680.90","-4.88","-8.68"
"NIFTY HOUSING","9,910.00","-1.32","9,987.65","9,994.40","9,839.70","-","10,043.00","10,043.00","10,290.65","10,403.90","10,272.52","12,386.30","9,839.70","-3.53","-4.75"
"NIFTY IPO","1,741.55","-2.14","1,761.40","1,764.55","1,720.35","-","1,779.65","1,779.65","1,847.35","1,944.75","1,974.97","2,387.55","1,720.35","-11.82","-10.45"
"NIFTY MIDSMALL INDIA CONSUMPTION","17,131.45","-1.49","17,267.10","17,267.10","16,940.00","-","17,390.40","17,390.40","17,599.20","18,387.20","15,509.87","21,008.10","14,493.40","10.46","-6.83"
"NIFTY NON-CYCLICAL CONSUMER","14,118.45","-2.67","14,419.25","14,435.05","14,084.45","-","14,505.30","14,505.30","14,620.55","15,077.80","13,671.78","18,289.65","13,081.55","3.27","-6.36"
"NIFTY RURAL","12,954.70","-2.82","13,261.10","13,263.45","12,939.35","-","13,330.25","13,330.25","13,432.70","13,737.70","13,069.24","16,370.10","12,304.35","-0.88","-5.70"
"NIFTY SHARIAH 25","7,494.15","-2.55","7,655.05","7,662.55","7,483.80","-","7,690.25","7,690.25","7,887.10","8,192.15","7,937.62","9,449.55","7,267.55","-5.59","-8.52"
"NIFTY TRANSPORTATION & LOGISTICS","19,468.30","-3.16","19,961.30","19,970.35","19,413.45","-","20,103.65","20,103.65","20,340.80","21,107.70","19,710.94","26,170.50","16,828.35","-1.23","-7.77"
"NIFTY50 SHARIAH","4,411.85","-2.74","4,523.50","4,524.75","4,407.05","-","4,536.30","4,536.30","4,657.45","4,847.30","4,826.00","5,677.90","4,407.05","-8.58","-8.98"
"NIFTY500 SHARIAH","6,264.50","-2.55","6,391.95","6,394.45","6,243.45","-","6,428.15","6,428.15","6,625.80","6,933.85","6,697.74","8,238.85","6,154.60","-6.47","-9.65"
"NIFTY 8-13 YR G-SEC","2,801.52","0.03","2,804.23","2,804.58","2,801.52","-","2,802.66","2,802.66","2,799.80","2,791.02","2,569.45","-","-","9.03","0.38"
"NIFTY 10 YR BENCHMARK G-SEC","2,479.28","0.06","2,481.57","2,482.30","2,479.05","-","2,480.22","2,480.22","2,477.79","2,469.57","2,275.26","-","-","8.97","0.39"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","892.26","-","893.11","893.37","892.18","-","893.11","893.11","893.22","893.86","876.58","-","-","1.79","-0.18"
"NIFTY 4-8 YR G-SEC INDEX","3,028.13","0.02","3,029.14","3,029.14","3,027.47","-","3,027.41","3,027.41","3,020.50","3,011.31","2,782.06","-","-","8.84","0.56"
"NIFTY 11-15 YR G-SEC INDEX","3,085.32","-0.08","3,092.53","3,092.53","3,085.32","-","3,090.77","3,090.77","3,089.58","3,087.46","2,835.32","-","-","8.82","-0.07"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,371.89","0.01","3,379.37","3,382.72","3,371.66","-","3,377.40","3,377.40","3,385.79","3,397.32","3,137.66","-","-","7.47","-0.75"
"NIFTY COMPOSITE G-SEC INDEX","2,891.23","0.01","2,895.07","2,895.29","2,891.23","-","2,893.43","2,893.43","2,891.52","2,886.49","2,658.56","-","-","8.75","0.16"
"NIFTY BHARAT BOND INDEX - APRIL 2025","1,304.60","0.01","1,304.57","1,304.64","1,304.57","-","1,304.39","1,304.39","1,302.90","1,296.74","-","-","-","-","0.61"
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,462.86","-0.04","1,465.37","1,465.37","1,462.86","-","1,465.09","1,465.09","1,464.08","1,459.09","-","-","-","-","0.26"
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,335.67","0.01","1,338.25","1,338.25","1,335.67","-","1,338.00","1,338.00","1,337.40","1,330.71","-","-","-","-","0.37"
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,218.55","0.01","1,220.97","1,220.97","1,218.55","-","1,220.74","1,220.74","1,219.39","1,217.12","-","-","-","-","0.12"
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,185.00","0.01","1,187.62","1,187.62","1,185.00","-","1,187.38","1,187.38","1,186.70","1,186.85","-","-","-","-","-0.16"
